OBJECTID,advisorySpeed,bicycle,bridge,bus,carStationWagon,cliffBank,crashDirectionDescription,crashFinancialYear,crashLocation1,crashLocation2,crashRoadSideRoad,crashSeverity,crashSHDescription,crashYear,debris,directionRoleDescription,ditch,fatalCount,fence,flatHill,guardRail,holiday,houseOrBuilding,intersection,kerb,light,minorInjuryCount,moped,motorcycle,NumberOfLanes,objectThrownOrDropped,otherObject,otherVehicleType,overBank,parkedVehicle,pedestrian,phoneBoxEtc,postOrPole,region,roadCharacter,roadLane,roadSurface,roadworks,schoolBus,seriousInjuryCount,slipOrFlood,speedLimit,strayAnimal,streetLight,suv,taxi,temporarySpeedLimit,tlaName,trafficControl,trafficIsland,trafficSign,train,tree,truck,unknownVehicleType,urban,vanOrUtility,vehicle,waterRiver,weatherA,weatherB,lat,lng
335997,,0,,0,2,,South,2007/2008,LANDSCAPE ROAD,ST GEORGE ST,,Non-Injury Crash,No,2007,,South,,0,,Flat,,,,,,Bright sun,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null,-36.9800372804212,174.857957026302
336077,,0,0,0,2,0,North,2006/2007,CHEYNE ROAD,TAWAI DELL,,Non-Injury Crash,No,2007,0,South,0,0,0,Flat,0,Queens Birthday,0,,0,Bright sun,0,0,0,2,0,0,0,0,1,,0,0,Bay of Plenty Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,Tauranga City,Unknown,0,0,0,0,0,0,Urban,0,0,0,Fine,Null,-37.7380995601399,176.13375773076
336157,,0,0,0,2,0,South,2007/2008,NAENAE ROAD,SEDDON ST,,Minor Crash,No,2008,0,South,0,0,0,Flat,0,,0,,0,Dark,1,0,0,2,0,0,0,0,1,,0,0,Wellington Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Lower Hutt City,Nil,0,0,0,0,0,0,Urban,0,0,0,Fine,Null,-41.2027716642637,174.949384738937
336237,,0,,0,0,,South,2007/2008,SH 1N,MAIN OBR,,Non-Injury Crash,Yes,2007,,North,,0,,Flat,,,,,,Bright sun,0,0,1,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,100,,Off,0,0,,Auckland,Nil,,,,,0,0,Open,0,,,Fine,Null,-36.8986091336833,174.808509433672
336317,,0,,0,2,,Null,2006/2007,SH 3,VILES ROAD,,Non-Injury Crash,Yes,2007,,North,,0,,Flat,,,,,,Twilight,0,0,0,2,,,0,,,,,,Manawatū-Whanganui Region,Nil,2-way,Sealed,,0,0,,100,,None,0,0,,Rangitikei District,Stop,,,,,0,0,Open,0,,,Fine,Null,-40.1547102114835,175.37801842249
336397,,0,0,0,1,0,East,2007/2008,CROSBIE ROAD,MANUKAU ROAD,,Non-Injury Crash,No,2007,0,East,0,0,0,Flat,0,,0,,1,Bright sun,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,Off,0,0,,Auckland,Nil,0,0,0,0,0,0,Urban,1,0,0,Fine,Null,-37.2083981446106,174.911815551099
336477,,0,,0,2,,Null,2007/2008,BARRINGTON ST,STOURBRIDGE ST,,Non-Injury Crash,No,2007,,East,,0,,Flat,,Christmas New Year,,,,Bright sun,0,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,Christchurch City,Give way,,,,,0,0,Urban,0,,,Fine,Null,-43.5570328281791,172.618649523244
336557,,0,0,0,1,0,South,2007/2008,CAMBRIDGE ROAD,MCLARNON ROAD,,Non-Injury Crash,No,2008,0,North,1,0,0,Flat,0,,0,,0,Overcast,0,0,0,2,0,0,0,0,0,,0,0,Waikato Region,Nil,2-way,Sealed,0,0,0,0,100,0,Null,0,0,,Waipa District,Unknown,0,0,0,0,0,0,Open,0,0,0,Light rain,Null,-37.9399983433756,175.43183198872
336637,,0,,0,1,,North,2008/2009,ROLAND ROAD,GREENHITHE ROAD,,Serious Crash,No,2008,,North,,0,,Flat,,,,,,Dark,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,1,,50,,On,1,0,,Auckland,Nil,,,,,0,0,Urban,0,,,Fine,Null,-36.7713994629029,174.671347732913
336717,,0,,0,2,,South,2007/2008,HOLLISTER LANE,POIKE ROAD,,Non-Injury Crash,No,2007,,North,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Bay of Plenty Region,Nil,2-way,Sealed,,0,0,,50,,Off,0,0,,Tauranga City,Nil,,,,,0,0,Urban,0,,,Fine,Null,-37.7387683862636,176.154264411819
336797,,0,0,0,1,0,South,2007/2008,SH 1N,STAFFORD OFF NBD,,Non-Injury Crash,Yes,2008,0,North,0,0,0,Hill Road,1,,0,,0,Overcast,0,0,0,4,0,0,0,0,0,,0,0,Auckland Region,Bridge,1-way,Sealed,0,0,0,0,80,0,Off,0,0,,Auckland,Nil,0,0,0,0,0,0,Open,1,0,0,Fine,Null,-36.8219586066732,174.750153520409
336877,,0,,0,2,,South,2008/2009,WALTHAM ROAD,WALTHAM ROAD OBR,,Non-Injury Crash,No,2008,,South,,0,,Hill Road,,,,,,Dark,0,0,0,4,,,0,,,,,,Canterbury Region,Bridge,2-way,Sealed,,0,0,,50,,On,0,0,,Christchurch City,Unknown,,,,,0,0,Urban,0,,,Fine,Null,-43.5415540028955,172.646486043656
336957,,0,0,0,0,1,West,2007/2008,THREE MILE HILL ROAD,FLAGSTAFF-WHARE FLAT ROAD,,Serious Crash,No,2008,0,East,0,0,0,Hill Road,0,,0,,0,Twilight,0,0,1,2,0,0,0,0,0,,0,0,Otago Region,Nil,2-way,Sealed,0,0,1,0,100,0,None,0,0,,Dunedin City,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null,-45.8507419690025,170.444497403529
337037,,0,,0,2,,East,2008/2009,SH 1N,GREY ST,,Non-Injury Crash,Yes,2008,,East,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Waikato Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,Waipa District,Stop,,,,,0,0,Urban,0,,,Light rain,Null,-37.8894895452075,175.461823548357
337117,,0,,0,2,,North,2006/2007,RANDWICK ROAD,RANDWICK CRESCENT N,,Non-Injury Crash,No,2007,,South,,0,,Flat,,,,,,Bright sun,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,Lower Hutt City,Nil,,,,,0,0,Urban,0,,,Fine,Null,-41.2254483713351,174.906023808838
337197,,0,,0,2,,Null,2007/2008,DIXON ST,BANNISTER ST,,Non-Injury Crash,No,2008,,West,,0,,Flat,,,,,,Bright sun,0,0,0,2,,,0,,,,,,Wellington Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,Masterton District,Give way,,,,,0,0,Urban,0,,,Fine,Null,-40.9513141342821,175.661543355536
337277,,0,,0,1,,Null,2007/2008,MILL ROAD,GREAT SOUTH ROAD,,Non-Injury Crash,No,2008,,East,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Auckland Region,Nil,2-way,Sealed,,0,0,,70,,Null,0,0,,Auckland,Give way,,,,,1,0,Urban,0,,,Fine,Null,-37.1919335600457,174.984040750506
337357,,0,0,0,1,0,South,2008/2009,MASTERTON-CASTLEPOINT ROA,MATAIKONA ROAD,,Minor Crash,No,2008,0,East,1,0,0,Hill Road,0,,0,,0,Bright sun,1,0,0,2,0,0,0,0,0,,0,0,Wellington Region,Nil,2-way,Unsealed,0,0,0,0,100,0,Null,0,0,30,Masterton District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null,-40.880465084091,176.212817254377
337437,,0,0,0,0,0,South,2007/2008,BACK ORMOND ROAD,WAIHIRERE DOMAIN ROAD,,Minor Crash,No,2008,0,East,1,0,0,Flat,0,,0,,0,Dark,1,0,0,2,0,0,0,0,0,,0,0,Gisborne Region,Nil,2-way,Sealed,0,0,0,0,100,0,On,1,0,,Gisborne District,Nil,0,0,0,0,0,0,Open,0,0,0,Fine,Null,-38.5821134627595,177.941097526545
337517,,0,,0,0,,South,2008/2009,SH 1N,KHYBER PASS OFF NBD,,Non-Injury Crash,Yes,2008,,North,,0,,Flat,,,,,,Bright sun,0,0,0,3,,,0,,,,,,Auckland Region,Nil,1-way,Sealed,,0,0,,80,,Off,1,0,,Auckland,Nil,,,,,0,0,Open,1,,,Fine,Null,-36.8684177925492,174.769375231063
337597,,0,,0,2,,Null,2007/2008,LINWOOD AVENUE,ENGLAND ST,,Minor Crash,No,2008,,West,,0,,Flat,,,,,,Bright sun,1,0,0,2,,,0,,,,,,Canterbury Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,Christchurch City,Stop,,,,,0,0,Urban,0,,,Fine,Null,-43.5275963408179,172.664041178022
337677,,0,0,0,1,0,Null,2008/2009,SOUTHDOWN LANE,INDUSTRY ROAD,,Non-Injury Crash,No,2008,0,South,0,0,1,Flat,0,,0,,0,Dark,0,0,0,2,0,0,0,0,0,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Auckland,Give way,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null,-36.9232127713949,174.827523810373
337757,,0,0,0,2,0,West,2007/2008,GREAT NORTH ROAD,PONSONBY ROAD,,Non-Injury Crash,No,2008,0,East,0,0,0,Flat,0,,0,,0,Dark,0,0,0,4,0,0,0,0,1,,0,0,Auckland Region,Nil,2-way,Sealed,0,0,0,0,50,0,On,0,0,,Auckland,Nil,0,0,0,0,0,0,Urban,0,0,0,Light rain,Null,-36.8603384259627,174.751959592367
337837,,0,0,0,0,1,West,2006/2007,BACK LINE ROAD,DALEDEW ROAD,,Non-Injury Crash,No,2007,0,East,0,0,0,Hill Road,0,,0,,0,Bright sun,0,0,0,0,0,0,0,0,0,,0,0,Canterbury Region,Nil,2-way,Unsealed,0,0,0,0,100,0,Null,1,0,,Waimate District,Unknown,0,0,0,0,0,0,Open,0,0,0,Fine,Null,-44.5989951400417,171.016490216545
337917,,0,,0,2,,West,2007/2008,POPLAR GROVE,HEAPHY ST,,Non-Injury Crash,No,2008,,West,,0,,Flat,,,,,,Overcast,0,0,0,2,,,0,,,,,,Taranaki Region,Nil,2-way,Sealed,,0,0,,50,,Null,0,0,,New Plymouth District,Nil,,,,,0,0,Urban,0,,,Fine,Null,-39.0806505757859,174.041790547853
